/*
 Cornu spiral.
 C(NU) is the x-axis.
 S(NU) is the y-axis.
 DELTA(NU)=0.01
*/
-4.998574E-01 -4.689392E-01
-4.902647E-01 -4.704702E-01
-4.816129E-01 -4.748863E-01
-4.747429E-01 -4.817554E-01
-4.703226E-01 -4.904059E-01
-4.687780E-01 -4.999980E-01
-4.702565E-01 -5.096000E-01
-4.746128E-01 -5.182853E-01
-4.814230E-01 -5.252150E-01
-4.900305E-01 -5.297246E-01
-4.996049E-01 -5.313821E-01
-5.092286E-01 -5.300313E-01
-5.179787E-01 -5.258045E-01
-5.250216E-01 -5.191073E-01
-5.296863E-01 -5.105817E-01
-5.315317E-01 -5.010388E-01
-5.303848E-01 -4.913877E-01
-5.263570E-01 -4.825411E-01
-5.198324E-01 -4.753366E-01
-5.114278E-01 -4.704515E-01
-5.019382E-01 -4.683446E-01
-4.922550E-01 -4.692111E-01
-4.832884E-01 -4.729668E-01
-4.758756E-01 -4.792583E-01
-4.707093E-01 -4.874942E-01
-4.682681E-01 -4.969063E-01
-4.687773E-01 -5.066168E-01
-4.721865E-01 -5.157229E-01
-4.781778E-01 -5.233829E-01
-4.861935E-01 -5.288881E-01
-4.954935E-01 -5.317335E-01
-5.052181E-01 -5.316588E-01
-5.144750E-01 -5.286736E-01
-5.224136E-01 -5.230550E-01
-5.283099E-01 -5.153188E-01
-5.316259E-01 -5.061749E-01
-5.320624E-01 -4.964569E-01
-5.295821E-01 -4.870510E-01
-5.244127E-01 -4.788095E-01
-5.170258E-01 -4.724794E-01
-5.080901E-01 -4.686302E-01
-4.984150E-01 -4.676078E-01
-4.888708E-01 -4.695012E-01
-4.803166E-01 -4.741374E-01
-4.735172E-01 -4.810989E-01
-4.690807E-01 -4.897592E-01
-4.674003E-01 -4.993449E-01
-4.686234E-01 -5.089990E-01
-4.726388E-01 -5.178648E-01
-4.790868E-01 -5.251543E-01
-4.873953E-01 -5.302249E-01
-4.968265E-01 -5.326295E-01
-5.065494E-01 -5.321590E-01
-5.157070E-01 -5.288571E-01
-5.234948E-01 -5.230172E-01
-5.292329E-01 -5.151525E-01
-5.324203E-01 -5.059541E-01
-5.327820E-01 -4.962246E-01
-5.302888E-01 -4.868134E-01
-5.251598E-01 -4.785366E-01
-5.178432E-01 -4.721125E-01
-5.089730E-01 -4.680941E-01
-4.993184E-01 -4.668269E-01
-4.897104E-01 -4.684173E-01
-4.809769E-01 -4.727255E-01
-4.738652E-01 -4.793800E-01
-4.689838E-01 -4.878074E-01
-4.667470E-01 -4.972875E-01
-4.673433E-01 -5.070091E-01
-4.707194E-01 -5.161465E-01
-4.765854E-01 -5.239229E-01
-4.844430E-01 -5.296819E-01
-4.936244E-01 -5.329376E-01
-5.033554E-01 -5.334182E-01
-5.128145E-01 -5.310860E-01
-5.212090E-01 -5.261391E-01
-5.278347E-01 -5.189957E-01
-5.321404E-01 -5.102540E-01
-5.337680E-01 -5.006459E-01
-5.325849E-01 -4.909736E-01
-5.286919E-01 -4.820391E-01
-5.224152E-01 -4.745844E-01
-5.142753E-01 -4.692235E-01
-5.049478E-01 -4.663981E-01
-4.952005E-01 -4.663380E-01
-4.858371E-01 -4.690454E-01
-4.776237E-01 -4.742960E-01
-4.712330E-01 -4.816566E-01
-4.671841E-01 -4.905252E-01
-4.658054E-01 -5.001758E-01
-4.672062E-01 -5.098246E-01
-4.712699E-01 -5.186868E-01
-4.776655E-01 -5.260472E-01
-4.858727E-01 -5.313112E-01
-4.952298E-01 -5.340573E-01
-5.049809E-01 -5.340668E-01
-5.143449E-01 -5.313415E-01
-5.225704E-01 -5.261028E-01
-5.290026E-01 -5.187711E-01
-5.331293E-01 -5.099344E-01
-5.346251E-01 -5.002955E-01
-5.333737E-01 -4.906224E-01
-5.294766E-01 -4.816796E-01
-5.232445E-01 -4.741742E-01
-5.151722E-01 -4.686972E-01
-5.058953E-01 -4.656766E-01
-4.961450E-01 -4.653476E-01
-4.866839E-01 -4.677332E-01
-4.782531E-01 -4.726439E-01
-4.715075E-01 -4.796949E-01
-4.669717E-01 -4.883342E-01
-4.649948E-01 -4.978908E-01
-4.657279E-01 -5.076216E-01
-4.691115E-01 -5.167761E-01
-4.748814E-01 -5.246471E-01
-4.825923E-01 -5.306314E-01
-4.916487E-01 -5.342705E-01
-5.013570E-01 -5.352885E-01
-5.109727E-01 -5.336102E-01
-5.197641E-01 -5.293658E-01
-5.270616E-01 -5.228819E-01
